,id,name,city,cuisine,rating
6248,6248,Paisano epicerie,Paris,italian,5.0
6250,6250,OTIUM Cold Press & Veggie Food,Paris,"cafe, healthy",5.0
6251,6251,Automne,Paris,french,5.0
6253,6253,La mangue verte,Paris,"chinese, asian, thai, vietnamese, vegetarian friendly",3.5
6255,6255,Yuxi,Paris,chinese,4.0
6258,6258,Le Patio Opera,Paris,"french, italian",3.5
6259,6259,Damasquino,Paris,"lebanese, mediterranean, vegetarian friendly, vegan options",5.0
6260,6260,Pho 8,Paris,vietnamese,4.0
6261,6261,borgo paris,Paris,"italian, mediterranean, european",3.5
6262,6262,Thai Vanda,Paris,thai,4.5
6263,6263,L'institut,Paris,"french, contemporary",4.0
6265,6265,Auciel,Paris,chinese,5.0
6266,6266,BARAK,Paris,"mediterranean, turkish",4.5
6267,6267,Tai Yien,Paris,"chinese, asian, vietnamese",3.5
6268,6268,La Focacceria des Vitelloni,Paris,"pizza, italian, mediterranean",4.0
6269,6269,Pancake Sisters,Paris,"french, american",4.5
6270,6270,Banhmila,Paris,"french, vietnamese",4.5
6271,6271,Delice de beyrouth,Paris,"lebanese, mediterranean, vegetarian friendly",4.0
6272,6272,Le Chalet des Iles Daumesnil,Paris,"french, european, vegetarian friendly",3.5
6274,6274,Cote pizza,Paris,"italian, pizza",4.0
6276,6276,Pizzeria Pernety,Paris,"italian, pizza, european, vegetarian friendly",4.0
6277,6277,Kaizen,Paris,"thai, vietnamese",4.5
6278,6278,Le Petit Matieu,Paris,"french, bar, mediterranean, pub, diner, wine bar",4.0
6279,6279,Cafe de Paris,Paris,"french, european",4.0
6281,6281,Tsuru,Paris,japanese,4.5
6283,6283,Kapunka Panoramas,Paris,"asian, thai, vegetarian friendly, vegan options, gluten free options",4.0
6284,6284,Le Camondo,Paris,"french, vegetarian friendly",3.5
6285,6285,A Cote le Bar a Vins,Paris,french,4.5
6286,6286,Le Preum's,Paris,french,4.0
6287,6287,Bar Atrium,Paris,"bar, pub, french",4.0
6289,6289,Matchan,Paris,"japanese, barbecue",4.0
6290,6290,Ying et Yang,Paris,"chinese, asian",4.0
6291,6291,Centre Ville,Paris,vegetarian friendly,4.0
6292,6292,Pizza momo,Paris,"italian, pizza",3.5
6293,6293,Carnet de Route,Paris,chinese,3.5
6294,6294,Belushi's,Paris,"american, bar, pub, international",3.5
6295,6295,Sancerre,Paris,"french, wine bar",4.0
6296,6296,A la Banane Ivoirienne,Paris,african,4.0
6297,6297,Pierre Oteiza,Paris,french,4.5
6298,6298,Suave,Paris,"asian, vietnamese",3.5
6299,6299,Traiteur Chang Sheng,Paris,"chinese, asian, thai, vietnamese",4.0
6300,6300,La Petite Rotonde,Paris,french,3.5
6302,6302,Grive,Paris,"french, seafood, healthy, wine bar",4.5
6304,6304,Le Pop-Up du Label,Paris,"french, european",4.0
6305,6305,Bistrot Clara,Paris,"french, wine bar",4.0
6306,6306,Le Damas,Paris,middle eastern,5.0
6307,6307,Il Palazzo,Paris,"italian, european, pizza, vegetarian friendly, kosher",4.0
6308,6308,La Perla,Paris,"mexican, latin, central american, vegetarian friendly",3.5
6309,6309,Le Bistro du Parc,Paris,french,4.5
6310,6310,Ristorante Prima,Paris,"pizza, italian",4.0
6311,6311,Bistrot du 9eme,Paris,"bar, european, french",3.5
6312,6312,Tokki restaurant,Paris,japanese,4.5
6313,6313,Apego,Paris,fast food,4.5
6314,6314,La maison du Sake,Paris,"japanese, asian, fusion, spanish",3.5
6316,6316,La Maison de la Mozzarella,Paris,italian,4.0
6317,6317,Le Renoir,Paris,"french, european",4.5
6318,6318,Yamato Restaurant,Paris,japanese,4.5
6320,6320,Ha Penny Bridge pub,Paris,"irish, bar, european",5.0
6321,6321,Assanabel,Paris,"lebanese, mediterranean, middle eastern",4.5
6322,6322,Le Barbes,Paris,french,4.0
6324,6324,La Seine Cafe,Paris,french,4.0
6325,6325,Fusion,Paris,chinese,4.5
6326,6326,Le Gay lussac,Paris,"french, bar, european, pub, delicatessen, soups",4.0
6327,6327,village de l'inde,Paris,indian,4.0
6329,6329,Chez Ann Paradis,Paris,"chinese, asian",4.5
6330,6330,La Maison des Proteines,Paris,"fast food, healthy, street food",5.0
6331,6331,La Pointe du Groin,Paris,"french, bar",3.5
6332,6332,180,Paris,"french, european",4.0
6333,6333,Palais des Rajpout,Paris,indian,4.0
6334,6334,Baan Lao,Paris,"asian, thai",4.5
6336,6336,Pause Sushi,Paris,japanese,4.5
6337,6337,Khai Tri,Paris,vietnamese,4.0
6338,6338,Le Magenta,Paris,"french, european, bar, pub",4.0
6339,6339,L'ecailler de L'ebeniste,Paris,seafood,4.0
6340,6340,La Favorite,Paris,"french, american, bar, european, vegetarian friendly",3.5
6341,6341,Cafe Le Victor Hugo,Paris,"french, cafe, european, international",3.5
6342,6342,Michelangelo,Paris,"italian, pizza, european",4.0
6343,6343,Le Relais du 15eme Iran Cera,Paris,"barbecue, grill, middle eastern, persian, french, halal",4.0
6344,6344,Le Rajasthan,Paris,indian,4.0
6345,6345,Le Bouquet de Grenelle,Paris,"french, european",3.5
6346,6346,Le Paradis des Amis,Paris,french,4.5
6347,6347,Isla Calaca,Paris,mexican,4.0
6348,6348,Yooki Sushi Port Royal,Paris,japanese,4.5
6349,6349,Chez Aldo Cafe,Paris,french,3.5
6350,6350,Au Vieux Cedre,Paris,"lebanese, mediterranean",4.5
6352,6352,OUR Kebab Paradis,Paris,turkish,4.0
6354,6354,Comë█¬ a la Maison,Paris,french,4.5
6355,6355,Maison Dong,Paris,"chinese, asian, grill",4.5
6356,6356,Restaurant Le Balcon,Paris,"french, european",3.5
6357,6357,Hippopotamus,Paris,"french, steakhouse, european, grill",3.5
6359,6359,Cantine Volta,Paris,french,5.0
6360,6360,Le Quartier General,Paris,french,4.0
6362,6362,Colonna,Paris,"italian, pizza, mediterranean",3.5
6363,6363,Les Rotisseries du Roy,Paris,delicatessen,4.5
6364,6364,Le Water Bar Colette,Paris,"french, vegetarian friendly",4.0
6366,6366,Les Voisins,Paris,french,4.5
6368,6368,Mamma Roma Francoeur,Paris,vegetarian friendly,4.0
6369,6369,Chez Sun,Paris,thai,3.5
6371,6371,Il Brigante,Paris,"italian, pizza",3.5
6372,6372,Esens'All,Paris,"french, european, fusion",4.5
6373,6373,Mon Petit Poulet,Paris,"french, grill",4.0
6374,6374,L'Elysee Saint Honore,Paris,"french, mediterranean",4.0
6375,6375,Muqam Restaurant - Specialite Ouighoure,Paris,"chinese, xinjiang",4.0
6376,6376,Madame Mozzarella,Paris,italian,4.5
6377,6377,La Cantine de Quentin,Paris,french,4.5
6378,6378,L'instant by le Paris,Paris,"french, bar, barbecue",4.0
6379,6379,The Freedom Pub,Paris,"british, bar, pub",4.0
6380,6380,Auberge Saint Augustin,Paris,"moroccan, french, european, middle eastern",4.0
6381,6381,Le Regal de TiTi,Paris,french,4.0
6382,6382,Retro,Paris,french,4.0
6383,6383,Paul,Paris,"french, cafe, european",4.0
6384,6384,La Chope de Corentin,Paris,french,4.0
6385,6385,Vietnam In Paris,Paris,"vietnamese, vegetarian friendly, vegan options",4.5
6386,6386,Dochilak,Paris,"asian, korean, vegetarian friendly",3.5
