,id,name,city,rating,Reviews
2433,2433,Bistro Burger Grands Boulevards,Paris,4.0,perfect burger & fries! bad burger friendly staff nice location
2434,2434,Foyer Vietnam,Paris,4.0,mixed feelings simple cheap good
2435,2435,Falstaff,Paris,4.0,burgers phenomenal amazing selection beers
2436,2436,villa papillon,Paris,4.0,much potential shame food d... great thai food
2437,2437,George V Cafe,Paris,4.0,great lunch nice place good food wines
2438,2438,O'Neil,Paris,4.0,good change pace enjoy beer live music
2439,2439,Le Bistrot de l'Universite,Paris,4.5,excellent food nice amazing!!
2440,2440,Hiramatsu,Paris,4.5,one best dinners ever delightful place swayed
2441,2441,Oliva,Paris,4.5,italian food high qualit... diner oliva last friday
2442,2442,Fonzarelli,Paris,4.0,wow - gem heart paris hidden gem
2444,2444,Le Passy,Paris,4.0,improvised visit quick bite
2445,2445,Le Petit Moulin,Paris,4.5,authentic & friendly great value! tiny little restaurant montmartre
2446,2446,La Tomate Italienne,Paris,4.5,good end good day adorable restaurant best staff ever
2447,2447,Pizza Vesuvio,Paris,3.5,fun atmosphere. super pizza great location
2448,2448,Garnier,Paris,4.0,great food expierence garnier opera house
2449,2449,Cafe Shakespeare & Company With Bob's Bake Shop,Paris,4.0,great brownies waited years
2450,2450,La Rotonde de la Muette,Paris,4.0,busy lunch! nicely refurbished place costes...
2451,2451,Autour du Moulin,Paris,4.0,duck duck cheese!! pleasant surprise
2452,2452,Bangkok Thailand,Paris,4.0,quirky delish thailand trip lifetime
2453,2453,Le Boissy d'Anglas,Paris,4.5,good perfect french bistro & best creme brulee ever!
2454,2454,Amarante,Paris,4.5,superb cooking outstanding ingredient... chocolate mousse heaven
2455,2455,Mezze du Liban,Paris,4.0,amazing food lebanese food!
2456,2456,1ndix Cafe,Paris,5.0,amazing meal. simple fresh tasty place !!!!
2457,2457,Flora Danica,Paris,3.5,nice quiet surprise stylish
2458,2458,Le Balm,Paris,4.0,bit fault towers nice thai restaurant paris
2459,2459,La Truffiere,Paris,4.0,superb cuisine latin quarter mmmmm...that wonderful truffle smell...
2460,2460,Chez Claude,Paris,4.0,early dinner ef paris tour 2017
2461,2461,Chez Truffes Folies,Paris,3.5,good place truffles lovers yum!! lovely meal great sal...
2462,2462,Un Air de Famille,Paris,4.0,family resembelance. one best spots lunch 17t...
2463,2463,Da Pietro,Paris,4.0,good italian paris lovely pizza
2464,2464,Garden Sushi,Paris,4.5,cozy japanese restaurant impeccable japanese restaurant
2465,2465,Cafe Dad,Paris,4.5,awesome plat du jour dads
2466,2466,Le Murat,Paris,3.5,great place diner reliable always
2467,2467,Le Triomphe,Paris,4.5,one best hearty
2468,2468,La Robe et le Palais,Paris,4.0,nice local place food people.
2469,2469,Brasserie L'Europeen,Paris,3.5,late lunch waiting train dont get prix fixe menu
2470,2470,Bagelstein,Paris,4.0,yummy lovely
2471,2471,Lao Tseu,Paris,4.0,good go chinese paris!
2472,2472,Le Brandevin,Paris,4.5,good meal dry meat
2473,2473,Fils du Soleil,Paris,4.0,great food good food
2474,2474,Matiere A,Paris,4.5,great find great food really nice relaxed atmosp...
2475,2475,Le Gourbi,Paris,4.0,nice moroccan lovely moroccan
2476,2476,Bistro Regent Opera,Paris,4.0,fast simple tasty good food fast service
2477,2477,John Weng,Paris,4.0,great food great service fusion asian cuisine
2478,2478,Hotaru,Paris,4.5,best japanese food paris taste japan
2479,2479,Le Vin Qui Danse !,Paris,4.0,looking nice place meals could better
2480,2480,Au Gout Dujour,Paris,4.5,couples vacation friendly service good food
2481,2481,Pret a Manger,Paris,4.0,good grab go! convenient vry tasty
2482,2482,Gourmet Nomade,Paris,5.0,super
2483,2483,Le Smiley,Paris,4.0,nice bistrot terrace friendly sta... great service. great food
2484,2484,Officina Schenatti,Paris,4.5,nice italian! worth visit! good italian fancy twist
2485,2485,Max Y Jeremy,Paris,4.0,great tapas good atmoshpere great cocktail menu
2486,2486,La Cooperative,Paris,4.0,espresso good food area plenty bad fo...
2487,2487,G by Gaspard,Paris,4.5,delightful business lunch
2488,2488,Le Carre Elysee,Paris,4.0,delicious lunch friendly waiters amazing food great service
2489,2489,Racines 2,Paris,4.0,gone bust great place - excellent food
2490,2490,Les Saveurs du Maroc,Paris,4.5,fantastic!!!!! best moroccan paris
2491,2491,Gusto Italia,Paris,4.0,small good great food small quite restaurant
2492,2492,La Recoleta,Paris,4.0,great meat! great steak saut╠⌐ed potatoes!
2493,2493,Le Bistro de Oies,Paris,4.0,traditional home made french cuisine good food
2494,2494,Yamada,Paris,4.5,good food fantastic good-value sushi
2495,2495,Two Stories,Paris,4.5,wow!!! best restaurant around!!
2496,2496,Simone Et Les Garcons,Paris,4.0,great restaurant ! excellent place 12 arrond near place f...
2497,2497,Atelier Vivanda,Paris,4.0,bad simple yet tasty
2498,2498,Krugen,Paris,4.5,brilliant experience great crepes
2499,2499,Le Microsillon,Paris,4.5,great menu great atmosphere. excellent original food
2500,2500,Maison Becquey,Paris,3.5,really nice! great local lunch spot!
2501,2501,Chez Ming,Paris,4.0,good! good food stay chinese options.
2502,2502,Menelik,Paris,4.0,original delicious good stuff
2503,2503,Midam,Paris,4.5,little slow still tasty friendly fantastic service
2504,2504,Okomusu Paris,Paris,4.0,nice discovery delicious meal!
2505,2505,Yakitori,Paris,4.5,great sushi! amazing yakitori
2506,2506,Villa Pereire,Paris,4.0,good enjoyable dinner delightful servi...
2507,2507,La Pizzeria di Rebellato,Paris,4.0,one best italian paris good quality pizza
2508,2508,L'Ange Gardien,Paris,4.5,nice tastefull surprise ! good food excellent atmosphere
2509,2509,Steak 'n Shake,Paris,4.5,tasty convenient great shake & fries
2510,2510,Sens'o,Paris,4.0,pizza go pleasant bistro.
2511,2511,NANA,Paris,4.5,culinary gem perfection
2512,2512,Le Petit Voisin,Paris,4.5,typical neighborhood caf╠⌐ shop - 15th dist... cant go wrong good food
2513,2513,Les Crocs des Halles,Paris,4.0,birthday group amazing food & fabulous service - thank yo...
2514,2514,L'Auberge du Bonheur,Paris,4.0,parisian lunch excellent value location
2515,2515,Les P'tits Plats By Vito,Paris,5.0,superb!
2516,2516,Aux Arts et Sciences reunis,Paris,4.0,delightful restaurant entertaining quality food...
2517,2517,Le Triangle,Paris,4.5,quaint craft brewery great place. helpful staff
2518,2518,Au Terminus du Chatelet,Paris,4.0,old school best place accident
2519,2519,Le Malakoff,Paris,3.5,great location decent food great location
2520,2520,Vin et Maree Murat Exelmans,Paris,4.0,quick friendly service smile excellent fish restaurant
2521,2521,L'Alchimie,Paris,4.5,nice cosy lucky find
2522,2522,Ossekgarden,Paris,4.0,great food amazing service low price mauvaise gestion - bad management
2523,2523,le vrai paris,Paris,3.5,great service great food. say tr╠¼s bon!!
2524,2524,La Creperie Saint Germain,Paris,4.0,loved place! beautiful decor match crepes
